[06/09/2020 - 04:51:23PM] PlayerDamage log opened (PC-64)
[06/09/2020 - 04:51:35PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:35PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:35PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:36PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:36PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:36PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:37PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:37PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:37PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:38PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:38PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:38PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:38PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:39PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:39PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:39PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
