[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF02037F)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF02A1F9)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF02C139)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF02D592)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF032C3D)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF032E32)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF032C83)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF019FDC)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF01A6A1)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF028DDC)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF01CC3B)>] Explosion Detected...
[04/24/2020 - 08:20:16PM] [Metro:Gear:DetectExplosion < (FF01A8ED)>] Explosion Detected...
